 ,Abs_frame,X_(px),Y_(px),Channel,Slice,Frame,xMin,yMin,xMax,yMax,NArea,IntegrIntCh1,IntegrIntCh2,ColocCh1,ColocCh2,ColocIndCh1,ColocIndCh2,Index
234,12,1203.00000,424.00000,2,6,1,1195,416,1211,432,165,0.00000,122.00000,0,1,0,234,234
235,13,267.00000,315.00000,1,7,1,256,304,278,326,289,645.00000,0.00000,1,0,235,0,235
236,13,297.00000,217.00000,1,7,1,286,206,308,228,289,1419.00000,0.00000,1,0,236,0,236
237,13,333.00000,551.00000,1,7,1,322,540,344,562,289,2709.00000,0.00000,1,0,237,0,237
238,13,359.00000,88.00000,1,7,1,348,77,370,99,289,3483.00000,0.00000,1,0,238,0,238
239,13,364.00000,607.00000,1,7,1,353,596,375,618,289,4128.00000,0.00000,1,0,239,0,239
240,13,454.00000,519.00000,1,7,1,443,508,465,530,289,4773.00000,0.00000,1,0,240,0,240
241,13,534.00000,479.00000,1,7,1,523,468,545,490,289,6192.00000,0.00000,1,0,241,0,241
242,13,594.00000,636.00000,1,7,1,583,625,605,647,289,32895.00000,0.00000,1,0,242,0,242
243,13,706.00000,691.00000,1,7,1,695,680,717,702,289,7611.00000,0.00000,1,0,243,0,243
244,13,755.00000,551.00000,1,7,1,744,540,766,562,289,15093.00000,0.00000,1,0,244,0,244
245,13,771.00000,653.00000,1,7,1,760,642,782,664,289,9675.00000,0.00000,1,0,245,0,245
246,13,775.00000,479.00000,1,7,1,764,468,786,490,289,8256.00000,0.00000,1,0,246,0,246
247,13,808.00000,813.00000,1,7,1,797,802,819,824,289,10320.00000,0.00000,1,0,247,0,247
248,13,839.00000,756.00000,1,7,1,828,745,850,767,289,10965.00000,0.00000,1,0,248,0,248
249,13,854.00000,537.00000,1,7,1,843,526,865,548,289,11739.00000,0.00000,1,0,249,0,249
250,13,874.00000,443.00000,1,7,1,863,432,885,454,289,12384.00000,0.00000,1,0,250,0,250
251,13,910.06494,880.93506,1,7,1,899,872,922,890,265,7777.00000,0.00000,1,0,251,0,251
252,13,956.00000,461.00000,1,7,1,945,450,967,472,289,23349.00000,0.00000,1,0,252,0,252
253,14,241.00000,743.00000,2,7,1,234,736,248,750,129,0.00000,7137.00000,0,1,0,253,253
254,14,391.00000,649.00000,2,7,1,384,642,398,656,129,0.00000,3843.00000,0,1,0,254,254
255,14,619.00000,448.00000,2,7,1,612,441,626,455,129,0.00000,3599.00000,0,1,0,255,255
256,14,666.00000,530.00000,2,7,1,659,523,673,537,129,0.00000,3538.00000,0,1,0,256,256
257,14,699.33333,865.00000,2,7,1,692,858,707,871,117,0.00000,156.00000,0,1,0,257,257
258,14,701.00000,576.00000,2,7,1,694,569,708,583,129,0.00000,3416.00000,0,1,0,258,258
259,14,733.00000,973.00000,2,7,1,726,966,740,980,129,0.00000,2501.00000,0,1,0,259,259
260,14,742.60725,869.37160,2,7,1,736,858,749,881,172,0.00000,662.00000,0,1,0,260,260
